state_2001,district_2001,state_2011,district_2011,n_2011_districts_from_2001,n_2001_districts_into_2011,relationship_type,change_usable,harmonization_method,status,source_url
Jharkhand,Ranchi,Jharkhand,Ranchi,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Jharkhand,Sahibganj,Jharkhand,Sahibganj,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bagalkot,Karnataka,Bagalkot,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bangalore,Karnataka,Bangalore,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bangalore Rural,Karnataka,Bangalore Rural,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bangalore Rural,Karnataka,Ramanagara,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Belgaum,Karnataka,Belgaum,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bellary,Karnataka,Bellary,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bidar,Karnataka,Bidar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Bijapur,Karnataka,Bijapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Chamarajanagar,Karnataka,Chamarajanagar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Chikmagalur,Karnataka,Chikmagalur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Chitradurga,Karnataka,Chitradurga,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Dakshina Kannada,Karnataka,Dakshina Kannada,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Davanagere,Karnataka,Davanagere,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Dharwad,Karnataka,Dharwad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Gadag,Karnataka,Gadag,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Gulbarga,Karnataka,Gulbarga,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Gulbarga,Karnataka,Yadgir,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Hassan,Karnataka,Hassan,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Haveri,Karnataka,Haveri,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Kodagu,Karnataka,Kodagu,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Kolar,Karnataka,Chikkaballapura,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Kolar,Karnataka,Kolar,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Koppal,Karnataka,Koppal,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Mandya,Karnataka,Mandya,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Mysore,Karnataka,Mysore,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Raichur,Karnataka,Raichur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Shimoga,Karnataka,Shimoga,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Tumkur,Karnataka,Tumkur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Udupi,Karnataka,Udupi,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Karnataka,Uttara Kannada,Karnataka,Uttara Kannada,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Alappuzha,Kerala,Alappuzha,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Ernakulam,Kerala,Ernakulam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Idukki,Kerala,Idukki,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Kannur,Kerala,Kannur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Kasargod,Kerala,Kasargod,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Kollam,Kerala,Kollam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Kottayam,Kerala,Kottayam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Kozhikode,Kerala,Kozhikode,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Malappuram,Kerala,Malappuram,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Palakkad,Kerala,Palakkad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Pathanamthitta,Kerala,Pathanamthitta,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Thiruvananthapuram,Kerala,Thiruvananthapuram,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Thrissur,Kerala,Thrissur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Kerala,Wayanad,Kerala,Wayanad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Balaghat,Madhya Pradesh,Balaghat,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Barwani,Madhya Pradesh,Barwani,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Betul,Madhya Pradesh,Betul,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Bhind,Madhya Pradesh,Bhind,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Chhindwara,Madhya Pradesh,Chhindwara,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Datia,Madhya Pradesh,Datia,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Dindori,Madhya Pradesh,Dindori,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,East Nimar,Madhya Pradesh,Burhanpur,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,East Nimar,Madhya Pradesh,Khandwa (East Nimar),2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Guna,Madhya Pradesh,Ashoknagar,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Guna,Madhya Pradesh,Guna,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Harda,Madhya Pradesh,Harda,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Indore,Madhya Pradesh,Indore,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Jhabua,Madhya Pradesh,Alirajpur,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Jhabua,Madhya Pradesh,Jhabua,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Katni,Madhya Pradesh,Katni,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Mandsaur,Madhya Pradesh,Mandsaur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Morena,Madhya Pradesh,Morena,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Narsimhapur,Madhya Pradesh,Narsimhapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Neemuch,Madhya Pradesh,Neemuch,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Panna,Madhya Pradesh,Panna,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Raisen,Madhya Pradesh,Raisen,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Rajgarh,Madhya Pradesh,Rajgarh,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Ratlam,Madhya Pradesh,Ratlam,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Rewa,Madhya Pradesh,Rewa,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Sagar,Madhya Pradesh,Sagar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Satna,Madhya Pradesh,Satna,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Sehore,Madhya Pradesh,Sehore,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Seoni,Madhya Pradesh,Seoni,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Shahdol,Madhya Pradesh,Annupur,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Shahdol,Madhya Pradesh,Shahdol,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Shajapur,Madhya Pradesh,Shajapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Sheopur,Madhya Pradesh,Sheopur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Shivpuri,Madhya Pradesh,Shivpuri,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Sidhi,Madhya Pradesh,Sidhi,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Sidhi,Madhya Pradesh,Singrauli,2,1,one_to_many_split,"Yes, after aggregation",Aggregate all 2011 child numerators and denominators to 2001 parent,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Tikamgarh,Madhya Pradesh,Tikamgarh,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Ujjain,Madhya Pradesh,Ujjain,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Umaria,Madhya Pradesh,Umaria,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,Vidisha,Madhya Pradesh,Vidisha,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Madhya Pradesh,West Nimar,Madhya Pradesh,Khargone (West Nimar),1,1,one_to_one_renamed,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Ahmadnagar,Maharashtra,Ahmadnagar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Akola,Maharashtra,Akola,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Amravati,Maharashtra,Amravati,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Aurangabad,Maharashtra,Aurangabad,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Bhandara,Maharashtra,Bhandara,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Bid,Maharashtra,Bid,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Buldana,Maharashtra,Buldana,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Chandrapur,Maharashtra,Chandrapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Dhule,Maharashtra,Dhule,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Gadchiroli,Maharashtra,Gadchiroli,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Gondiya,Maharashtra,Gondiya,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Hingoli,Maharashtra,Hingoli,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Jalgaon,Maharashtra,Jalgaon,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Jalna,Maharashtra,Jalna,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Kolhapur,Maharashtra,Kolhapur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Latur,Maharashtra,Latur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Mumbai,Maharashtra,Mumbai,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Mumbai (Suburban),Maharashtra,Mumbai Suburban,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Nagpur,Maharashtra,Nagpur,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Nanded,Maharashtra,Nanded,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Nandurbar,Maharashtra,Nandurbar,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
Maharashtra,Nashik,Maharashtra,Nashik,1,1,one_to_one_same_name,Yes,Direct link; harmonize name where necessary,Preliminary; validate against Census Administrative Atlas,https://github.com/yashveeeeeeer/india-geodata/tree/main/data/census/historical
