moderator_id,concept,variable,source_artifact,temporal_type,unit,role,preferred_label
D01,Muslim population share,muslim_share_2001_dist_proxy,data/derived/switchers_rewrite/final/ac_change.rds,2001 level,proportion,Primary demographic anchor,"Muslim population share, 2001"
D02,Change in Muslim population share,d_muslim_share_2001_2011_pp,data/derived/switchers_rewrite/final/ac_change.rds,2001-2011 change,percentage points,Alternative demographic context,"Change in Muslim population share, 2001-2011"
D03,Established migrant stock,migrant_share_2001_proxy,outputs/r31_full_lineage_migration_context_v1_0/06_full_lineage_migration_context_by_ac.rds,2001 retrospective level,proportion,Alternative demographic context,"Established migrant stock by 2001 relative to 2001 population"
D04,Change in migrant-stock share,d_migrant_share_2001_2011_pp,outputs/r31_full_lineage_migration_context_v1_0/06_full_lineage_migration_context_by_ac.rds,2001-2011 proxy change,percentage points,Alternative demographic context,"Proxy change in migrant-stock share, 2001-2011"
D05,Established male migrant stock,male_migrant_share_2001_proxy,outputs/r31_full_lineage_migration_context_v1_0/06_full_lineage_migration_context_by_ac.rds,2001 retrospective level,proportion,Alternative demographic context,"Established male migrant stock by 2001 relative to 2001 population"
D06,Change in male migrant-stock share,d_male_migrant_share_2001_2011_pp,outputs/r31_full_lineage_migration_context_v1_0/06_full_lineage_migration_context_by_ac.rds,2001-2011 proxy change,percentage points,Alternative demographic context,"Proxy change in male migrant-stock share, 2001-2011"
D07,Bengali or Bhojpuri population share,target_bengali_bhojpuri_share_2001_dist_proxy,data/derived/switchers_rewrite/final/ac_change.rds,2001 level,proportion,Alternative demographic context,"Bengali/Bhojpuri population share, 2001"
D08,Change in Bengali or Bhojpuri population share,d_target_bengali_bhojpuri_share_2001_2011_pp,data/derived/switchers_rewrite/final/ac_change.rds,2001-2011 change,percentage points,Alternative demographic context,"Change in Bengali/Bhojpuri population share, 2001-2011"
